date,calls
2015-10-18,194
2015-10-19,286
2015-10-20,272
2015-10-21,313
2015-10-22,281
2015-10-23,274
2015-10-24,228
2015-10-25,186
2015-10-26,315
2015-10-27,279
2015-10-28,305
2015-10-29,295
2015-10-30,254
2015-10-31,197
2015-11-01,206
2015-11-02,205
2015-11-03,306
2015-11-04,298
2015-11-05,278
2015-11-06,239
2015-11-07,194
2015-11-08,164
2015-11-09,310
2015-11-10,261
2015-11-11,293
2015-11-12,298
2015-11-13,244
2015-11-14,275
2015-11-15,328
2015-11-16,416
2015-11-17,440
2015-11-18,451
2015-11-19,380
2015-11-20,400
2015-11-21,332
2015-11-22,276
2015-11-23,429
2015-11-24,399
2015-11-25,400
2015-11-26,403
2015-11-27,456
2015-11-28,402
2015-11-29,414
2015-11-30,468
2015-12-01,449
2015-12-02,472
2015-12-03,507
2015-12-04,435
2015-12-05,278
2015-12-06,330
2015-12-07,562
2015-12-08,479
2015-12-09,407
2015-12-10,425
2015-12-11,461
2015-12-12,429
2015-12-13,417
2015-12-14,477
2015-12-15,484
2015-12-16,556
2015-12-17,498
2015-12-18,574
2015-12-19,316
2015-12-20,324
2015-12-21,552
2015-12-22,477
2015-12-23,315
2015-12-24,372
2015-12-25,437
2015-12-26,453
2015-12-27,444
2015-12-28,370
2015-12-29,538
2015-12-30,431
2015-12-31,292
2016-01-01,323
2016-01-02,290
2016-01-03,278
2016-01-04,443
2016-01-05,437
2016-01-06,436
2016-01-07,423
2016-01-08,418
2016-01-09,355
2016-01-10,364
2016-01-11,405
2016-01-12,438
2016-01-13,372
2016-01-14,413
2016-01-15,382
2016-01-16,293
2016-01-17,273
2016-01-18,458
2016-01-19,396
2016-01-20,341
2016-01-21,442
2016-01-22,412
2016-01-23,362
2016-01-24,337
2016-01-25,458
2016-01-26,439
2016-01-27,407
2016-01-28,449
2016-01-29,451
2016-01-30,340
2016-01-31,319
2016-02-01,517
2016-02-02,386
2016-02-03,441
2016-02-04,365
2016-02-05,409
2016-02-06,321
2016-02-07,325
2016-02-08,501
2016-02-09,450
2016-02-10,570
2016-02-11,397
2016-02-12,439
2016-02-13,351
2016-02-14,319
2016-02-15,528
2016-02-16,491
2016-02-17,445
2016-02-18,468
2016-02-19,474
2016-02-20,436
2016-02-21,405
2016-02-22,479
2016-02-23,445
2016-02-24,442
2016-02-25,484
2016-02-26,458
2016-02-27,336
2016-02-28,370
2016-02-29,525
2016-03-01,403
2016-03-02,410
2016-03-03,399
2016-03-04,375
2016-03-05,350
2016-03-06,363
2016-03-07,478
2016-03-08,417
2016-03-09,471
2016-03-10,423
2016-03-11,405
2016-03-12,338
2016-03-13,323
2016-03-14,535
2016-03-15,441
2016-03-16,418
2016-03-17,399
2016-03-18,409
2016-03-19,395
2016-03-20,346
2016-03-21,429
2016-03-22,472
2016-03-23,423
2016-03-24,406
2016-03-25,348
2016-03-26,345
2016-03-27,345
2016-03-28,434
2016-03-29,388
2016-03-30,411
2016-03-31,379
2016-04-01,410
2016-04-02,333
2016-04-03,342
2016-04-04,457
2016-04-05,373
2016-04-06,379
2016-04-07,354
2016-04-08,333
2016-04-09,319
2016-04-10,340
2016-04-11,424
2016-04-12,331
2016-04-13,364
2016-04-14,381
2016-04-15,369
2016-04-16,289
2016-04-17,294
2016-04-18,367
2016-04-19,356
2016-04-20,322
2016-04-21,350
2016-04-22,365
2016-04-23,321
2016-04-24,306
2016-04-25,411
2016-04-26,350
2016-04-27,305
2016-04-28,270
2016-04-29,295
2016-04-30,246
2016-05-01,267
2016-05-02,340
2016-05-03,325
2016-05-04,321
2016-05-05,302
2016-05-06,289
2016-05-07,325
2016-05-08,283
2016-05-09,402
2016-05-10,326
2016-05-11,376
2016-05-12,307
2016-05-13,328
2016-05-14,267
2016-05-15,249
2016-05-16,408
2016-05-17,351
2016-05-18,334
2016-05-19,317
2016-05-20,354
2016-05-21,313
2016-05-22,300
2016-05-23,341
2016-05-24,356
2016-05-25,332
2016-05-26,328
2016-05-27,387
2016-05-28,342
2016-05-29,315
2016-05-30,426
2016-05-31,407
2016-06-01,430
2016-06-02,390
2016-06-03,329
2016-06-04,288
2016-06-05,303
2016-06-06,441
2016-06-07,344
2016-06-08,355
2016-06-09,301
2016-06-10,334
2016-06-11,247
2016-06-12,298
2016-06-13,387
2016-06-14,353
2016-06-15,368
2016-06-16,366
2016-06-17,347
2016-06-18,329
2016-06-19,318
2016-06-20,404
2016-06-21,365
2016-06-22,316
2016-06-23,334
2016-06-24,321
2016-06-25,286
2016-06-26,334
2016-06-27,414
2016-06-28,295
2016-06-29,366
2016-06-30,319
2016-07-01,315
2016-07-02,301
2016-07-03,289
2016-07-04,367
2016-07-05,339
2016-07-06,323
2016-07-07,355
2016-07-08,325
2016-07-09,333
2016-07-10,276
2016-07-11,394
2016-07-12,410
2016-07-13,391
2016-07-14,374
2016-07-15,369
2016-07-16,311
2016-07-17,297
2016-07-18,371
2016-07-19,328
2016-07-20,331
2016-07-21,349
2016-07-22,272
2016-07-23,289
2016-07-24,307
2016-07-25,358
2016-07-26,371
2016-07-27,360
2016-07-28,373
2016-07-29,343
2016-07-30,241
2016-07-31,283
2016-08-01,361
2016-08-02,382
2016-08-03,359
2016-08-04,314
2016-08-05,326
2016-08-06,300
2016-08-07,264
2016-08-08,338
2016-08-09,315
2016-08-10,396
2016-08-11,344
2016-08-12,334
2016-08-13,293
2016-08-14,294
2016-08-15,380
2016-08-16,368
2016-08-17,409
2016-08-18,337
2016-08-19,373
2016-08-20,309
2016-08-21,316
2016-08-22,421
2016-08-23,384
2016-08-24,425
2016-08-25,397
2016-08-26,396
2016-08-27,274
2016-08-28,318
2016-08-29,440
2016-08-30,418
2016-08-31,438
2016-09-01,418
2016-09-02,417
2016-09-03,333
2016-09-04,317
2016-09-05,442
2016-09-06,385
2016-09-07,406
2016-09-08,464
2016-09-09,461
2016-09-10,324
2016-09-11,367
2016-09-12,487
2016-09-13,415
2016-09-14,461
2016-09-15,407
2016-09-16,416
2016-09-17,349
