date,calls
2022-08-08,323
2022-08-09,288
2022-08-10,342
2022-08-11,257
2022-08-12,274
2022-08-13,234
2022-08-14,222
2022-08-15,317
2022-08-16,307
2022-08-17,288
2022-08-18,300
2022-08-19,294
2022-08-20,225
2022-08-21,221
2022-08-22,291
2022-08-23,314
2022-08-24,299
2022-08-25,291
2022-08-26,296
2022-08-27,287
2022-08-28,202
2022-08-29,354
2022-08-30,352
2022-08-31,294
2022-09-01,263
2022-09-02,282
2022-09-03,214
2022-09-04,254
2022-09-05,254
2022-09-06,268
2022-09-07,208
2022-09-08,268
2022-09-09,270
2022-09-10,286
2022-09-11,223
2022-09-12,283
2022-09-13,290
2022-09-14,257
2022-09-15,285
2022-09-16,295
2022-09-17,267
2022-09-18,272
2022-09-19,335
2022-09-20,244
2022-09-21,266
2022-09-22,271
2022-09-23,242
2022-09-24,178
2022-09-25,191
2022-09-26,273
2022-09-27,275
2022-09-28,303
2022-09-29,230
2022-09-30,228
2022-10-01,234
2022-10-02,209
2022-10-03,348
2022-10-04,272
2022-10-05,312
2022-10-06,303
2022-10-07,265
2022-10-08,284
2022-10-09,232
2022-10-10,359
2022-10-11,298
2022-10-12,217
2022-10-13,368
2022-10-14,261
2022-10-15,248
2022-10-16,238
2022-10-17,371
2022-10-18,284
2022-10-19,302
2022-10-20,297
2022-10-21,315
2022-10-22,241
2022-10-23,240
2022-10-24,357
2022-10-25,271
2022-10-26,256
2022-10-27,293
2022-10-28,296
2022-10-29,257
2022-10-30,226
2022-10-31,337
2022-11-01,285
2022-11-02,262
2022-11-03,244
2022-11-04,279
2022-11-05,208
2022-11-06,218
2022-11-07,255
2022-11-08,309
2022-11-09,274
2022-11-10,242
2022-11-11,270
2022-11-12,239
2022-11-13,267
2022-11-14,320
2022-11-15,231
2022-11-16,312
2022-11-17,270
2022-11-18,308
2022-11-19,262
2022-11-20,209
2022-11-21,333
2022-11-22,298
2022-11-23,298
2022-11-24,264
2022-11-25,318
2022-11-26,288
2022-11-27,314
2022-11-28,351
2022-11-29,296
2022-11-30,352
2022-12-01,286
2022-12-02,223
2022-12-03,274
2022-12-04,197
2022-12-05,364
2022-12-06,284
2022-12-07,377
2022-12-08,306
2022-12-09,313
2022-12-10,318
2022-12-11,306
2022-12-12,380
2022-12-13,298
2022-12-14,318
2022-12-15,298
2022-12-16,364
2022-12-17,253
2022-12-18,287
2022-12-19,337
2022-12-20,313
2022-12-21,307
2022-12-22,242
2022-12-23,254
2022-12-24,170
2022-12-25,232
2022-12-26,351
2022-12-27,332
2022-12-28,341
2022-12-29,260
2022-12-30,263
2022-12-31,198
2023-01-01,246
2023-01-02,372
2023-01-03,337
2023-01-04,296
2023-01-05,303
2023-01-06,286
2023-01-07,274
2023-01-08,238
2023-01-09,386
2023-01-10,324
2023-01-11,391
2023-01-12,323
2023-01-13,333
2023-01-14,276
2023-01-15,268
2023-01-16,380
2023-01-17,308
2023-01-18,253
2023-01-19,337
2023-01-20,319
2023-01-21,271
2023-01-22,233
2023-01-23,373
2023-01-24,309
2023-01-25,328
2023-01-26,335
2023-01-27,376
2023-01-28,345
2023-01-29,260
2023-01-30,357
2023-01-31,336
2023-02-01,300
2023-02-02,288
2023-02-03,335
2023-02-04,291
2023-02-05,233
2023-02-06,334
2023-02-07,294
2023-02-08,301
2023-02-09,259
2023-02-10,266
2023-02-11,283
2023-02-12,236
2023-02-13,317
2023-02-14,264
2023-02-15,287
2023-02-16,244
2023-02-17,241
2023-02-18,270
2023-02-19,238
2023-02-20,341
2023-02-21,285
2023-02-22,297
2023-02-23,300
2023-02-24,334
2023-02-25,294
2023-02-26,258
2023-02-27,347
2023-02-28,247
2023-03-01,303
2023-03-02,273
2023-03-03,283
2023-03-04,315
2023-03-05,255
2023-03-06,327
2023-03-07,284
2023-03-08,361
2023-03-09,295
2023-03-10,315
2023-03-11,326
2023-03-12,228
2023-03-13,199
2023-03-14,283
2023-03-15,277
2023-03-16,326
2023-03-17,262
2023-03-18,284
2023-03-19,258
2023-03-20,293
2023-03-21,268
2023-03-22,282
2023-03-23,265
2023-03-24,294
2023-03-25,291
2023-03-26,243
